Model,Accuracy,Precision,Recall,F1-Score
RandomForest,0.9354838709677419,0.9354838709677419,0.9354838709677419,0.9354838709677419
CurriculumLearning,0.8709677419354839,0.8728287841191067,0.8709677419354839,0.8664874551971326
BayesianOptimization,0.8387096774193549,0.8760508308895405,0.8387096774193549,0.8225215644570483
MultiArmedBandits,0.8387096774193549,0.8476702508960574,0.8387096774193549,0.8395622487303303
DeepLearning,0.7096774193548387,0.7350928641251221,0.7096774193548387,0.7179144682650995
