year_level,age,gender,sessions_attended_num,pref_self_study,pref_group,pref_formal,attends_schedule_bool,planning_score,discipline_score,active_learning_score,environment_score,collaboration_score,feedback_score,confidence_score,gwa_psych_assessment_num,gwa_industrial_psych_num,gwa_developmental_psych_num,gwa_abnormal_psych_num,motivation_professional_advancement,motivation_family_expectations,motivation_personal_fulfillment,motivation_peer_influence,challenge_time,challenge_financial,challenge_resources,challenge_burnout,challenge_focus
3rd,20,Male,,1,0,0,0,0.5,0.5,1.0,1.0,1.0,0.6666666666666666,0.5833333333333333,,,1.25,,1,1,1,0,0,0,0,0,0
3rd Year,20,Female,,0,0,1,0,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,,,1.25,,1,0,1,0,0,1,0,1,0
3rd yr,20,Female ,,0,0,1,0,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,,,1.25,,1,1,1,1,0,0,0,0,0
4th year,23,Male ,3.5,0,0,1,1,1.0,0.8333333333333333,1.0,1.0,0.6666666666666666,0.6666666666666666,0.8333333333333333,1.25,1.25,1.25,1.25,1,0,1,0,1,0,0,0,0
4th Year,21,Female ,1.5,0,0,1,1,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,2.0,2.0,2.0,2.0,1,0,0,0,0,0,0,0,0
3,21,Female,3.5,1,0,0,0,1.0,0.5,1.0,1.0,1.0,1.0,0.9166666666666666,,,2.0,,1,0,0,0,0,0,0,1,0
3rd,20,Femal3,,0,0,1,0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.0,0.0,0.5833333333333333,,,2.0,,1,0,1,0,0,0,0,0,0
Graduated,23,Female,1.5,0,1,0,1,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,1.0,0.9166666666666666,2.0,2.0,2.0,2.0,1,1,1,1,1,0,0,0,0
Graduate,22,Female,3.5,0,1,0,1,1.0,0.3333333333333333,1.0,0.6666666666666666,1.0,0.3333333333333333,0.7499999999999999,2.0,1.25,2.0,1.25,1,0,1,0,1,0,0,0,0
Graduate ,23,Male,,0,1,0,1,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.41666666666666663,2.0,2.0,2.0,2.0,1,0,1,1,1,0,0,0,0
Graduate,23,Male,1.5,0,0,1,1,1.0,0.8333333333333333,1.0,1.0,0.6666666666666666,0.6666666666666666,0.8333333333333333,2.0,2.0,1.25,2.0,1,1,1,1,1,0,0,0,0
4,22,Female,1.5,0,0,1,1,0.5,0.3333333333333333,1.0,1.0,1.0,0.0,0.7499999999999999,1.25,2.0,1.25,1.25,1,1,1,1,0,1,0,0,0
4,21,Non-binary,3.5,0,1,0,1,1.0,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,0.7499999999999999,1.25,1.25,1.25,1.25,1,0,0,0,0,0,0,0,0
